fold,split,case_id,component_index,component_voxels,center_i,center_j,center_k,centroid_i,centroid_j,centroid_k,max_prob,mean_prob,threshold,min_component_voxels,image_i,image_j,image_k,checkpoints
1,train,0089,4,5,169,180,149,169.6,180.0,148.8,0.21807894110679626,0.1741582155227661,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0096,2,40,147,178,165,146.8,178.5,164.65,0.9996246099472046,0.7043204307556152,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0096,1,23,144,170,171,144.1304347826087,170.1304347826087,171.34782608695653,0.9978548288345337,0.6664633750915527,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0099,2,48,162,111,152,161.77083333333334,111.25,152.66666666666666,0.9975558519363403,0.6442731022834778,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0099,1,17,138,144,153,137.35294117647058,143.88235294117646,152.64705882352942,0.9942193031311035,0.5456462502479553,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0131,1,3,147,182,171,147.33333333333334,182.33333333333334,171.0,0.19255976378917694,0.14819540083408356,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0139,4,1047,142,102,150,137.41069723018148,105.87106017191977,148.64278892072588,0.9999461770057678,0.5620632171630859,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0139,2,44,117,126,138,116.72727272727273,125.75,138.0909090909091,0.9999300241470337,0.7143630385398865,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0139,1,294,113,99,149,112.07142857142857,100.98639455782313,148.64625850340136,0.9972735047340393,0.35813239216804504,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0139,5,62,129,136,150,128.3548387096774,136.56451612903226,149.8709677419355,0.9554446935653687,0.469828337430954,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0139,6,32,132,130,135,130.6875,129.46875,134.71875,0.7125219702720642,0.34885329008102417,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0139,3,10,119,120,137,118.4,120.0,137.1,0.6786441802978516,0.28149738907814026,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0147,1,9,85,118,68,85.22222222222223,118.33333333333333,67.66666666666667,0.6890451908111572,0.36773115396499634,0.1,3,251,251,176,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0147,2,4,124,122,99,124.5,122.5,99.0,0.5750806927680969,0.446350634098053,0.1,3,251,251,176,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0189,1,35,95,140,125,96.37142857142857,140.02857142857144,124.22857142857143,0.9882824420928955,0.45315220952033997,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0189,2,4,131,161,144,131.0,160.5,143.5,0.32373905181884766,0.206824392080307,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0189,3,9,132,157,147,132.66666666666666,156.22222222222223,146.55555555555554,0.2932361960411072,0.20259633660316467,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0189,4,21,136,161,142,135.0,159.9047619047619,141.95238095238096,0.2661811411380768,0.21522367000579834,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,2,318,85,152,152,89.95597484276729,157.3176100628931,150.16352201257862,1.0,0.8083304166793823,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,10,140,141,167,146,141.09285714285716,168.05714285714285,147.06428571428572,1.0,0.8258621692657471,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,14,73,178,103,159,178.17808219178082,103.87671232876713,158.58904109589042,0.9999997615814209,0.8242959976196289,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,13,56,161,95,124,160.5,95.21428571428571,125.03571428571429,0.9855419993400574,0.3732294738292694,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,1,20,85,98,115,84.95,98.0,114.6,0.9755442142486572,0.6043117046356201,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,7,29,118,134,186,116.55172413793103,134.17241379310346,184.75862068965517,0.9462196230888367,0.3828426003456116,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,4,16,115,137,171,114.4375,136.8125,170.6875,0.9169939160346985,0.5199646949768066,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0203,12,35,158,170,145,157.25714285714287,169.4,144.68571428571428,0.8986564874649048,0.4034375250339508,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0206,1,21,123,161,141,122.33333333333333,160.42857142857142,140.61904761904762,0.9999814033508301,0.7816819548606873,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0225,1,34,130,152,168,130.26470588235293,151.6764705882353,168.64705882352942,0.9866757988929749,0.5095387101173401,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0225,2,3,163,187,164,163.0,187.66666666666666,164.33333333333334,0.3123241066932678,0.2528686821460724,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0227,3,17,106,151,175,106.23529411764706,150.94117647058823,175.47058823529412,0.509792149066925,0.24576768279075623,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0227,2,11,102,146,176,102.36363636363636,146.54545454545453,176.27272727272728,0.3270358443260193,0.16637079417705536,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0227,4,53,146,194,143,147.62264150943398,193.28301886792454,143.33962264150944,0.2515868842601776,0.21751153469085693,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0227,1,4,92,159,110,92.5,159.0,110.0,0.2153875231742859,0.15846101939678192,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0236,1,73,143,59,176,142.41095890410958,60.41095890410959,176.68493150684932,0.7534214854240417,0.3488517701625824,0.1,3,277,278,263,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0237,1,18,176,127,107,177.0,126.38888888888889,107.55555555555556,0.8233689069747925,0.43138283491134644,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0243,1,14,102,91,135,101.71428571428571,91.71428571428571,134.42857142857142,0.7150095701217651,0.3290194571018219,0.1,3,267,213,277,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0243,3,12,185,76,109,184.83333333333334,76.91666666666667,108.75,0.5174552798271179,0.27938827872276306,0.1,3,267,213,277,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0243,2,14,148,122,185,147.64285714285714,121.71428571428571,185.07142857142858,0.45207837224006653,0.25487247109413147,0.1,3,267,213,277,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0271,1,26,148,163,150,147.76923076923077,163.30769230769232,150.65384615384616,0.44308388233184814,0.290529727935791,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0298,2,289,150,156,197,150.55017301038063,154.1280276816609,198.07612456747404,1.0,0.8242952823638916,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0298,1,9,98,159,136,98.22222222222223,159.11111111111111,135.55555555555554,0.7389278411865234,0.38991251587867737,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0320,1,35,63,92,135,64.34285714285714,91.51428571428572,136.17142857142858,0.9994917511940002,0.4793827533721924,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0320,2,10,83,122,147,83.6,121.9,146.7,0.6898491978645325,0.3614014983177185,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0328,2,7,132,104,156,132.14285714285714,103.42857142857143,155.71428571428572,0.9977892637252808,0.7011551260948181,0.1,3,262,242,289,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0328,1,5,128,103,155,128.2,102.6,155.4,0.8933874368667603,0.3928010165691376,0.1,3,262,242,289,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0333,2,51,166,138,143,164.98039215686273,138.23529411764707,143.54901960784315,0.9918575286865234,0.5399917960166931,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0333,3,23,167,131,143,167.47826086956522,130.3913043478261,143.2173913043478,0.9461824893951416,0.44723254442214966,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0333,1,4,112,149,156,112.5,149.0,156.0,0.14275525510311127,0.12778186798095703,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0344,1,85,83,100,167,83.30588235294118,100.67058823529412,166.9764705882353,0.9999867677688599,0.7015055418014526,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0344,2,102,106,93,166,105.15686274509804,93.16666666666667,166.22549019607843,0.9984822273254395,0.6303561925888062,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0368,2,35,86,158,123,84.22857142857143,158.65714285714284,122.6,0.6268176436424255,0.24935008585453033,0.1,3,267,310,317,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0368,4,33,176,156,123,176.87878787878788,155.33333333333334,122.84848484848484,0.5142462849617004,0.2529295086860657,0.1,3,267,310,317,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0368,3,54,136,228,128,138.07407407407408,227.90740740740742,127.46296296296296,0.39098426699638367,0.23844783008098602,0.1,3,267,310,317,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0368,1,4,80,161,124,79.75,161.75,124.0,0.1865522861480713,0.14325302839279175,0.1,3,267,310,317,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0382,1,21,149,174,144,148.9047619047619,174.38095238095238,144.57142857142858,0.9973844289779663,0.6817485690116882,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0386,1,82,100,152,112,100.39024390243902,152.2439024390244,111.51219512195122,0.7372903823852539,0.426188588142395,0.1,3,276,304,296,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0386,2,44,145,228,125,144.5681818181818,226.95454545454547,124.88636363636364,0.38068491220474243,0.212019681930542,0.1,3,276,304,296,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0386,3,3,167,179,107,167.33333333333334,178.66666666666666,107.0,0.251977801322937,0.17520080506801605,0.1,3,276,304,296,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0386,4,4,174,187,111,174.25,187.0,111.0,0.2046620100736618,0.1493687480688095,0.1,3,276,304,296,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0386,5,5,180,161,107,180.2,160.6,107.6,0.16705742478370667,0.12236467748880386,0.1,3,276,304,296,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0394,2,79,161,162,117,160.49367088607596,162.63291139240508,116.78481012658227,0.9975802898406982,0.6696282625198364,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0394,1,5,125,97,149,125.6,96.6,149.2,0.9491029977798462,0.6880863904953003,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0416,1,20,111,126,153,110.65,127.75,152.4,0.3649115264415741,0.24916274845600128,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0417,1,12,124,152,148,124.08333333333333,152.5,147.83333333333334,0.3030719459056854,0.18520058691501617,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0417,2,84,172,77,173,169.95238095238096,77.32142857142857,174.70238095238096,0.2735134959220886,0.18255841732025146,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0425,5,21,160,94,144,160.23809523809524,94.28571428571429,143.9047619047619,0.9301097393035889,0.45859017968177795,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0425,4,4,130,137,167,129.75,137.0,167.0,0.352203905582428,0.24193038046360016,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0425,6,5,163,74,166,163.2,74.2,165.8,0.34180545806884766,0.17540554702281952,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0425,1,10,111,123,169,110.6,122.6,169.3,0.26577696204185486,0.23273202776908875,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0425,2,19,111,137,167,110.36842105263158,137.3684210526316,167.52631578947367,0.25390005111694336,0.23804694414138794,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0425,3,15,128,144,168,128.53333333333333,143.06666666666666,167.13333333333333,0.2352215051651001,0.18871131539344788,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0427,2,36,104,127,168,102.86111111111111,128.02777777777777,168.47222222222223,0.999983549118042,0.7973604202270508,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0427,1,5,99,118,168,99.8,118.4,168.8,0.20836670696735382,0.16772063076496124,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0442,1,42,158,177,149,158.57142857142858,177.07142857142858,148.35714285714286,0.9995440244674683,0.7095116376876831,0.1,3,275,275,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0445,1,11,94,63,147,95.0,62.81818181818182,147.27272727272728,0.7562536001205444,0.49988651275634766,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0457,1,5,97,90,173,96.8,89.6,173.0,0.616684079170227,0.46891847252845764,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0462,1,4,119,107,147,118.5,106.5,147.0,0.1868559718132019,0.150290846824646,0.1,3,268,259,265,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0468,1,61,84,163,130,85.1311475409836,162.75409836065575,129.7704918032787,0.9999901056289673,0.7535360455513,0.1,3,260,260,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0468,2,55,87,163,113,86.54545454545455,162.74545454545455,112.50909090909092,0.9333429336547852,0.4474623203277588,0.1,3,260,260,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0468,3,26,129,175,147,129.03846153846155,174.5,147.26923076923077,0.3624866306781769,0.23500578105449677,0.1,3,260,260,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0476,1,9,106,27,130,105.66666666666667,27.0,130.77777777777777,0.31613022089004517,0.19219516217708588,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0505,2,48,130,63,180,131.22916666666666,63.270833333333336,180.33333333333334,0.9312927722930908,0.3428235352039337,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0505,1,3,119,88,202,118.66666666666667,88.0,202.33333333333334,0.38971489667892456,0.2811175286769867,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0508,1,5,142,119,138,142.4,118.6,137.8,0.38963744044303894,0.19515497982501984,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0508,2,3,165,116,154,165.33333333333334,115.66666666666667,154.0,0.30328917503356934,0.22387832403182983,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0517,1,5,158,99,146,158.0,99.2,146.0,0.5897303819656372,0.2964707016944885,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0519,1,3,115,193,155,115.33333333333333,193.66666666666666,155.0,0.5057348608970642,0.28241217136383057,0.1,3,256,272,272,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0530,2,824,151,152,123,153.8640776699029,150.37257281553397,116.9635922330097,1.0,0.8267447352409363,0.1,3,268,256,268,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0530,1,27,96,96,136,96.48148148148148,96.07407407407408,135.55555555555554,0.9998059868812561,0.7131068110466003,0.1,3,268,256,268,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,3,124,101,156,112,102.24193548387096,155.1290322580645,111.8225806451613,0.9999957084655762,0.7891276478767395,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,2,23,81,86,161,81.1304347826087,85.34782608695652,161.2608695652174,0.9954847693443298,0.545595109462738,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,1,131,80,127,109,81.23664122137404,126.54961832061069,109.58015267175573,0.9843214154243469,0.5521640777587891,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,7,12,154,150,161,153.75,150.0,161.41666666666666,0.9246503114700317,0.5672931671142578,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,8,17,158,150,163,158.23529411764707,149.35294117647058,163.52941176470588,0.9023101925849915,0.5103753209114075,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,9,6,166,143,162,166.16666666666666,142.66666666666666,161.83333333333334,0.6243246793746948,0.35049065947532654,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,6,6,121,156,154,120.66666666666667,156.83333333333334,154.33333333333334,0.6071303486824036,0.3922000229358673,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0565,5,11,103,161,164,102.54545454545455,161.1818181818182,164.0909090909091,0.40860995650291443,0.23902946710586548,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0566,1,3,136,129,192,136.33333333333334,129.66666666666666,192.0,0.18604661524295807,0.15008831024169922,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0588,3,13,162,159,117,162.15384615384616,159.15384615384616,116.3076923076923,0.9545718431472778,0.6333435773849487,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0588,1,30,74,67,19,74.46666666666667,67.3,18.9,0.43579041957855225,0.22031955420970917,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0588,2,14,87,72,22,86.92857142857143,72.14285714285714,22.0,0.4060065448284149,0.2134692370891571,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0590,1,95,127,195,109,126.2,194.49473684210525,109.50526315789473,0.773095965385437,0.2811267375946045,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0590,2,12,179,151,116,178.83333333333334,150.83333333333334,116.5,0.2895849049091339,0.23766255378723145,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0591,1,6,134,168,178,133.66666666666666,168.33333333333334,178.16666666666666,0.7170774340629578,0.4145062267780304,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0592,1,8,128,169,137,127.75,169.5,136.625,0.24788567423820496,0.21224594116210938,0.1,3,271,271,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0613,1,4,139,156,124,138.5,157.0,124.0,0.15075819194316864,0.13576313853263855,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0615,2,8,139,139,157,139.125,138.625,157.25,0.9997400045394897,0.8204753398895264,0.1,3,278,308,294,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0615,1,6,135,138,157,135.0,137.5,156.66666666666666,0.973849892616272,0.5082119703292847,0.1,3,278,308,294,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0619,2,24,195,63,15,194.04166666666666,62.458333333333336,14.75,0.5514286756515503,0.2315809279680252,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0619,1,4,104,152,168,103.5,152.5,168.0,0.2361699789762497,0.20166295766830444,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0627,3,83,116,151,177,116.97590361445783,151.55421686746988,177.87951807228916,1.0,0.8471633791923523,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0627,1,42,101,75,145,100.52380952380952,76.9047619047619,144.45238095238096,0.99983811378479,0.7283065915107727,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0627,2,20,115,147,180,114.95,146.35,180.1,0.9995124936103821,0.7518178820610046,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
1,train,0627,4,4,122,161,139,121.75,160.5,138.75,0.6534485816955566,0.44559139013290405,0.1,3,256,256,256,best_tr_f1_kpcyjb66.pt|best_gt50.pt|best_tiny.pt|best_714109.pt
